sport,role,gender,age,weight_kg,height_cm,training_intensity,session_duration_min,training_days_per_week,is_match_day,is_recovery_day,fatigue_score,goal,diet_type,sport_enc,gender_enc,goal_enc,diet_enc,calories_kcal,protein_g,carbs_g,fat_g,needs_iron,needs_calcium,needs_vitd
Kabaddi,Raider,female,24,53.1,168,7,145,5,0,0,4,maintain,veg,2,1,0,0,2664,121.9,433.7,49.1,1,0,0
Athletics,Hurdler,female,23,63.1,168,8,131,5,1,0,4,maintain,non-veg,3,1,0,1,2890,142.0,439.5,62.7,1,0,0
Badminton,Singles player,male,16,72.2,174,5,90,5,0,0,2,maintain,non-veg,5,0,0,1,3064,115.8,511.5,61.7,0,1,1
Football,Striker,female,25,60.1,162,5,106,5,0,0,5,cut,non-veg,1,1,2,1,2407,98.2,414.9,39.4,1,0,0
Athletics,Long-distance runner,male,21,64.4,173,2,118,4,0,0,5,cut,non-veg,3,0,2,1,3257,140.5,579.5,41.9,0,0,0
Cricket,All-rounder,male,21,62.7,171,1,111,6,0,0,2,cut,non-veg,0,0,2,1,2423,119.0,400.5,38.3,0,0,0
Athletics,Hurdler,female,19,69.2,170,5,55,4,0,0,6,bulk,non-veg,3,1,1,1,3778,122.1,687.6,59.9,1,1,0
Athletics,Hurdler,female,23,55.9,156,4,92,4,0,0,6,cut,non-veg,3,1,2,1,2822,95.7,529.6,35.6,1,0,0
Wrestling,Greco-Roman wrestler,female,19,65.1,166,6,108,3,1,0,5,bulk,non-veg,4,1,1,1,3473,181.6,538.7,65.7,1,1,1
Kabaddi,Raider,female,19,72.4,156,9,88,3,1,0,1,maintain,non-veg,2,1,0,1,3440,179.9,535.5,64.3,1,1,0
Athletics,Long-distance runner,male,22,65.2,171,5,69,7,0,0,4,maintain,veg,3,0,0,0,3447,138.0,594.6,57.4,0,0,0
Kabaddi,Defender,male,19,62.3,170,5,162,4,0,0,3,bulk,veg,2,0,1,0,2853,121.2,379.0,94.7,0,1,0
Football,Goalkeeper,male,20,66.2,166,6,58,6,0,0,6,bulk,veg,1,0,1,0,3127,110.8,523.6,65.5,0,0,0
Athletics,Jumper,male,27,71.6,174,7,72,6,0,1,5,maintain,veg,3,0,0,0,3196,149.7,512.1,61.0,0,0,0
Athletics,Thrower,female,23,62.0,176,5,96,3,0,0,3,bulk,non-veg,3,1,1,1,3056,123.9,509.7,58.0,1,0,0
Wrestling,Greco-Roman wrestler,male,16,75.5,164,7,74,5,1,0,4,cut,veg,4,0,2,0,4052,207.1,662.3,63.8,0,1,1
Athletics,Thrower,male,14,63.2,183,3,46,5,0,0,7,bulk,non-veg,3,0,1,1,3459,125.7,600.0,61.8,1,1,0
Football,Goalkeeper,male,19,76.8,176,2,134,6,0,1,5,maintain,veg,1,0,0,0,2780,132.5,445.3,52.1,0,1,0
Kabaddi,All-rounder,male,21,67.7,180,7,78,5,0,0,1,maintain,veg,2,0,0,0,2951,120.6,472.4,64.3,0,0,0
Athletics,Long-distance runner,female,14,69.6,157,6,88,5,0,1,5,bulk,non-veg,3,1,1,1,3556,125.4,634.1,57.5,1,1,0
Wrestling,Freestyle wrestler,male,14,52.4,169,9,115,4,1,0,4,maintain,non-veg,4,0,0,1,3029,137.7,444.7,77.7,0,1,1
Football,Striker,male,24,67.1,174,8,80,5,1,0,4,maintain,non-veg,1,0,0,1,4072,137.7,716.8,72.7,0,0,0
Kabaddi,Defender,male,19,75.3,171,6,30,6,0,0,5,cut,non-veg,2,0,2,1,3426,153.8,577.3,55.7,0,1,0
Cricket,Wicket-keeper,male,24,57.6,176,3,71,7,0,0,6,bulk,non-veg,0,0,1,1,2564,113.6,366.7,71.4,0,0,0
Kabaddi,Raider,male,21,92.0,171,6,121,6,0,0,7,bulk,non-veg,2,0,1,1,4218,181.8,701.8,75.9,0,0,1
Cricket,Spin bowler,male,21,60.5,171,6,99,5,0,0,4,maintain,veg,0,0,0,0,2597,100.6,383.3,73.5,0,0,0
Football,Goalkeeper,male,23,74.0,176,5,131,4,0,1,5,bulk,veg,1,0,1,0,3011,135.2,469.1,66.0,0,0,0
Badminton,Doubles player,female,26,49.5,154,1,70,3,0,1,8,maintain,non-veg,5,1,0,1,1831,86.5,300.4,31.5,1,0,1
Badminton,Singles player,female,24,67.8,158,1,158,3,0,0,1,maintain,veg,5,1,0,0,2843,118.2,502.5,40.0,1,0,1
Wrestling,Freestyle wrestler,female,22,66.5,166,6,93,4,1,0,4,bulk,non-veg,4,1,1,1,3186,137.6,511.1,65.7,1,1,1
Athletics,Thrower,female,22,49.3,154,7,71,2,0,0,5,maintain,non-veg,3,1,0,1,2270,89.6,377.4,44.7,1,0,0
Badminton,Singles player,male,19,66.4,165,7,145,5,1,0,1,bulk,non-veg,5,0,1,1,3339,137.7,509.7,83.3,0,1,1
Wrestling,Freestyle wrestler,female,21,60.2,170,6,77,5,0,0,6,bulk,veg,4,1,1,0,2608,119.3,363.0,75.4,1,1,1
Wrestling,Greco-Roman wrestler,male,14,85.5,163,4,68,6,0,0,3,maintain,non-veg,4,0,0,1,3614,196.6,566.8,62.3,0,1,1
Cricket,Wicket-keeper,female,21,46.1,163,7,102,4,1,0,4,maintain,non-veg,0,1,0,1,2335,92.3,342.4,66.2,1,0,0
Badminton,Doubles player,male,14,70.7,182,2,99,4,1,0,3,maintain,non-veg,5,0,0,1,3570,130.0,617.2,64.6,0,1,1
Badminton,Doubles player,male,26,73.7,183,5,83,4,0,0,2,cut,non-veg,5,0,2,1,2946,112.6,501.0,54.6,0,0,1
Athletics,Thrower,female,20,45.0,163,7,30,5,0,0,8,bulk,veg,3,1,1,0,2353,88.7,280.8,97.2,1,0,0
Football,Striker,male,21,73.6,172,7,62,5,1,0,2,maintain,non-veg,1,0,0,1,4117,147.7,719.9,71.8,0,0,0
Wrestling,Greco-Roman wrestler,male,25,55.9,168,3,92,5,0,0,3,maintain,veg,4,0,0,0,2271,134.4,325.3,48.0,0,0,1
Athletics,Long-distance runner,male,20,73.0,176,3,63,4,0,0,4,maintain,veg,3,0,0,0,3239,130.2,553.9,55.9,0,0,0
Wrestling,Greco-Roman wrestler,male,28,56.7,177,6,97,4,0,0,4,bulk,veg,4,0,1,0,2875,141.9,434.9,63.1,0,0,1
Football,Goalkeeper,male,24,73.7,176,4,82,3,0,0,4,bulk,non-veg,1,0,1,1,3603,168.3,583.9,66.0,0,0,0
Badminton,Doubles player,male,19,70.0,189,5,70,5,0,0,4,maintain,veg,5,0,0,0,2866,106.9,389.5,97.8,0,1,1
Athletics,Long-distance runner,male,16,73.1,172,2,70,1,1,0,5,bulk,non-veg,3,0,1,1,3398,159.6,533.4,69.6,0,1,0
Wrestling,Greco-Roman wrestler,male,26,80.2,170,8,94,4,0,0,3,bulk,veg,4,0,1,0,3345,188.8,453.6,86.1,0,0,1
Badminton,Doubles player,male,18,69.6,172,6,125,6,0,0,2,maintain,veg,5,0,0,0,3137,108.0,537.1,61.8,0,1,1
Football,Defender,male,14,65.8,163,2,106,5,0,1,3,bulk,non-veg,1,0,1,1,2458,106.2,387.6,53.7,0,1,0
Football,Midfielder,male,14,62.5,174,3,95,4,1,0,6,maintain,non-veg,1,0,0,1,3140,128.8,517.0,61.9,0,1,0
Wrestling,Greco-Roman wrestler,female,15,57.6,169,4,30,4,0,0,5,cut,veg,4,1,2,0,2674,147.7,430.1,40.3,1,1,1
Kabaddi,Raider,male,20,79.4,164,2,77,4,0,0,6,bulk,veg,2,0,1,0,3684,184.7,602.8,59.3,0,0,0
Cricket,Fast bowler,male,17,69.7,163,6,92,7,0,1,5,bulk,veg,0,0,1,0,2899,108.1,293.7,143.5,0,1,0
Athletics,Sprinter,female,18,50.0,170,4,50,5,1,0,7,bulk,non-veg,3,1,1,1,2614,93.7,329.5,102.4,1,1,0
Athletics,Jumper,male,24,75.2,178,4,47,6,0,1,7,maintain,non-veg,3,0,0,1,3393,149.4,568.3,58.0,1,0,1
Athletics,Sprinter,female,22,51.6,167,6,98,6,0,0,6,maintain,veg,3,1,0,0,2289,86.5,379.4,47.3,1,0,0
Badminton,Singles player,male,15,48.3,186,3,83,4,0,0,6,cut,non-veg,5,0,2,1,2215,89.1,367.9,43.0,0,1,1
Cricket,Spin bowler,male,17,66.3,173,5,138,5,0,0,6,bulk,non-veg,0,0,1,1,2962,105.3,403.8,102.9,0,1,0
Wrestling,Freestyle wrestler,female,21,51.5,157,7,127,5,0,0,5,maintain,non-veg,4,1,0,1,2262,105.0,356.0,46.5,1,1,1
Kabaddi,All-rounder,female,30,65.5,163,8,110,4,1,0,2,maintain,non-veg,2,1,0,1,3502,131.3,607.1,60.9,1,0,0
Wrestling,Freestyle wrestler,female,25,53.8,162,3,111,6,1,0,7,maintain,veg,4,1,0,0,2174,132.8,297.2,50.4,1,1,1
Badminton,Singles player,male,17,60.2,176,5,102,3,0,0,4,maintain,veg,5,0,0,0,2595,114.3,386.5,65.8,0,1,1
Cricket,Wicket-keeper,male,26,64.0,173,7,47,2,0,1,1,bulk,veg,0,0,1,0,2913,121.4,273.9,148.0,0,0,0
Football,Defender,male,25,62.5,189,4,95,6,0,0,9,bulk,non-veg,1,0,1,1,3204,129.6,525.9,64.7,0,0,1
Badminton,Singles player,female,23,52.5,155,5,84,4,0,0,5,bulk,non-veg,5,1,1,1,2249,88.0,308.1,73.8,1,0,1
Badminton,Singles player,male,25,60.8,158,5,86,6,0,0,6,bulk,non-veg,5,0,1,1,2661,106.8,398.4,71.1,0,0,1
Kabaddi,Raider,male,24,73.8,170,4,78,6,0,0,4,maintain,veg,2,0,0,0,2884,142.7,447.6,58.1,0,0,0
Badminton,Doubles player,male,15,69.4,159,6,85,4,0,0,1,maintain,veg,5,0,0,0,3055,109.3,521.0,59.3,0,1,1
Athletics,Jumper,male,15,45.0,171,9,139,4,0,0,3,maintain,veg,3,0,0,0,2608,92.3,388.3,76.2,0,1,0
Cricket,Wicket-keeper,female,21,57.0,159,4,65,4,0,0,5,bulk,veg,0,1,1,0,2350,98.3,373.5,51.4,1,0,0
Football,Winger,male,19,60.5,155,7,112,4,1,0,5,maintain,non-veg,1,0,0,1,3650,125.1,646.4,62.7,0,1,0
Kabaddi,All-rounder,male,20,66.9,167,7,62,3,0,0,6,bulk,non-veg,2,0,1,1,3208,146.2,503.2,67.8,0,0,0
Badminton,Doubles player,female,16,54.8,158,4,108,4,0,0,4,maintain,non-veg,5,1,0,1,2296,97.7,375.9,44.6,1,1,1
Badminton,Doubles player,female,20,57.2,155,3,88,4,0,0,9,maintain,non-veg,5,1,0,1,2058,98.3,323.5,41.2,1,0,1
Kabaddi,All-rounder,male,25,68.6,167,5,71,5,0,0,7,maintain,non-veg,2,0,0,1,2839,134.4,446.7,57.2,0,0,0
Athletics,Jumper,male,16,64.4,175,6,89,4,0,0,3,maintain,non-veg,3,0,0,1,2744,122.3,413.6,66.7,0,1,0
Cricket,Wicket-keeper,male,24,73.1,181,4,35,5,0,0,7,maintain,veg,0,0,0,0,3035,124.1,499.3,60.2,0,0,0
Athletics,Hurdler,female,22,45.8,161,7,109,6,0,0,4,maintain,non-veg,3,1,0,1,2028,100.3,300.6,47.2,1,0,0
Athletics,Thrower,male,17,62.8,174,7,84,3,0,1,5,bulk,non-veg,3,0,1,1,3569,125.9,617.3,66.2,0,1,0
Athletics,Thrower,female,20,60.7,160,8,132,3,1,0,4,maintain,non-veg,3,1,0,1,3314,136.7,556.3,60.2,1,0,0
Kabaddi,Defender,female,22,61.3,162,5,100,4,0,0,2,maintain,veg,2,1,0,0,2906,124.4,493.7,48.2,1,0,0
Badminton,Singles player,male,24,46.8,167,8,89,3,0,0,3,maintain,veg,5,0,0,0,2445,72.1,285.5,112.7,0,0,1
Athletics,Sprinter,male,18,58.8,183,5,126,6,0,0,5,cut,veg,3,0,2,0,2453,116.5,382.5,50.8,0,1,0
Cricket,Spin bowler,male,19,56.2,180,5,96,5,0,0,4,bulk,non-veg,0,0,1,1,2855,92.1,353.3,119.3,0,1,0
Kabaddi,Defender,female,20,77.4,153,4,105,5,0,0,6,cut,veg,2,1,2,0,3528,145.7,639.9,42.8,1,0,0
Wrestling,Freestyle wrestler,male,24,74.7,185,5,60,6,0,0,4,cut,non-veg,4,0,2,1,2999,192.8,431.5,55.8,0,0,1
Football,Striker,male,17,67.1,174,6,111,4,0,0,6,bulk,non-veg,1,0,1,1,3431,108.0,596.4,68.2,0,1,0
Wrestling,Greco-Roman wrestler,female,22,48.6,168,4,114,5,1,0,8,maintain,veg,4,1,0,0,2237,106.6,270.0,81.2,1,1,1
Wrestling,Greco-Roman wrestler,female,14,55.0,152,7,121,3,1,0,6,maintain,non-veg,4,1,0,1,2489,152.1,348.4,54.1,1,1,1
Kabaddi,All-rounder,female,26,57.0,159,6,124,3,1,0,5,maintain,non-veg,2,1,0,1,3070,135.1,513.6,52.8,1,0,0
Football,Midfielder,male,22,94.9,159,4,134,4,0,0,9,maintain,non-veg,1,0,0,1,4248,181.8,737.9,63.3,0,0,0
Cricket,Batsman,female,15,47.9,166,4,90,4,0,0,1,bulk,non-veg,0,1,1,1,2285,86.2,310.7,77.5,1,1,0
Athletics,Long-distance runner,male,29,69.1,171,5,76,2,1,0,4,maintain,non-veg,3,0,0,1,3452,165.9,552.0,64.5,0,0,0
Wrestling,Greco-Roman wrestler,female,17,45.0,160,2,112,5,1,0,2,cut,non-veg,4,1,2,1,1858,89.4,291.9,37.0,1,1,1
Wrestling,Greco-Roman wrestler,male,24,62.2,175,10,101,4,0,1,3,maintain,non-veg,4,0,0,1,2941,129.1,387.3,97.3,0,0,1
Football,Striker,male,21,67.8,179,5,70,3,0,0,1,cut,veg,1,0,2,0,3126,132.7,530.4,52.6,0,0,0
Badminton,Doubles player,male,23,62.6,173,4,68,5,0,0,3,cut,non-veg,5,0,2,1,2690,104.4,461.9,47.2,0,0,1
Wrestling,Greco-Roman wrestler,female,18,63.1,159,8,124,6,1,0,1,bulk,non-veg,4,1,1,1,3679,160.3,606.4,68.0,1,1,1
Athletics,Hurdler,male,23,70.9,167,6,55,5,1,0,1,maintain,non-veg,3,0,0,1,3878,147.5,670.9,67.2,0,0,0
Kabaddi,Raider,female,17,45.0,166,7,128,5,0,0,6,maintain,veg,2,1,0,0,2110,85.2,304.5,61.3,1,1,0
Badminton,Singles player,male,18,82.3,175,6,35,4,0,0,8,bulk,non-veg,5,0,1,1,3367,146.1,529.7,73.8,0,1,1
Cricket,Batsman,female,23,55.5,152,4,77,5,0,0,4,maintain,veg,0,1,0,0,2014,85.2,323.0,42.3,1,0,0
Football,Midfielder,male,24,56.2,160,8,146,4,1,0,4,bulk,non-veg,1,0,1,1,3530,114.5,608.1,71.1,0,0,0
Football,Midfielder,male,19,63.6,171,5,78,4,0,0,8,cut,non-veg,1,0,2,1,3124,105.5,564.0,49.6,0,1,0
